bss,x,y,geometry,dpt,prof,alt,masse_eau,codes_bdlisa,CodeEH,InclusEH,EtatEH,NatureEH,MilieuEH,ThemeEH,OrigineEH
10001X1150/PZ_ARB,7.199288778,43.693882326,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [7.19928877755973, 43.6938823263146]}",06,354.0,20.0,,,,,,,,,
06288X0096/SB,6.069710454,46.329030497,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [6.06971045433496, 46.3290304971764]}",01,78.0,558.68,['Sillons fluvio-glaciaires du Pays de Gex'],516AF00,516AF00,516AF,3,6.0,1,2.0,2.0
09382X0052/C,4.084750697,44.029095619,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.08475069651798, 44.0290956194161]}",30,8.0,105.07,"[""Alluvions du moyen Gardon + Gardons d'Alès et d'Anduze""]",712BF23,712BF23,712BF,2,5.0,1,1.0,1.0
07208X0197/F1C,4.306255162,45.605448412,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.3062551616042, 45.6054484121089]}",42,15.5,385.0,['Sables et marnes du bassin tertiaire de la Plaine du Forez libre'],113AL01,113AL01,113AL,X,6.0,1,2.0,1.0
09894X0077/DRAC,3.506259265,43.695204648,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.506259265391554, 43.6952046483279]}",34,60.0,100.0,"['Calcaires et marnes causses et avant-causses du Larzac sud, Campestre, Blandas, Séranne, Escandorgue, BV Hérault et Orb']",362AC25,362AC25,362AC,2,5.0,5,2.0,1.0
07703X0043/SDC,4.91131599,45.338843911,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.91131598976644, 45.3388439108238]}",38,28.0,229.0,['Alluvions de la Plaine de Bièvre-Valloire'],521AM00,521AM00,521AM,2,5.0,1,2.0,2.0
09728X0177/PZ1BEC,7.185305179,43.823806242,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [7.18530517882583, 43.8238062417139]}",06,80.0,108.69,,,,,,,,,
08515X0031/PZC,-0.680898409,44.475845024,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.680898409002726, 44.4758450237708]}",33,,73.0,,308AC03,308AC03,308AC,3,5.0,1,2.0,1.0
10151X0084/GRELAD,3.302692411,43.55244821,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.302692410639445, 43.55244821024001]}",34,46.0,257.34,"['Formations plissées du Haut Minervois, Monts de Faugères, St Ponais et Pardailhan']",681AB02,681AB02,681AB,2,5.0,3,4.0,1.0
09993X0232/PZ_MAD,7.096501899,43.656059372,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [7.09650189852872, 43.6560593721828]}",06,,74.0,,,,,,,,,
08626X0014/BERNAD,3.342959392,44.466454321,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.3429593915117652, 44.46645432106688]}",48,,672.0,,946AA01,,,,,,,
10403X0216/SAUZED,3.449049071,43.343457942,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.44904907120825, 43.3434579421722]}",34,61.0,6.38,,,,,,,,,
09998X0199/PZ_PID,7.125900921,43.640614714,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [7.12590092134099, 43.6406147140988]}",06,323.0,30.0,['Calcaires jurassiques de la région de Villeneuve-Loubet'],569AE00,569AE00,569AE,2,5.0,3,2.0,2.0
09617X0247/F1MEND,3.14151,43.760788,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.14151, 43.760788]}",34,139.0,525.0,,693AE02,693AE02,693AE,2,5.0,5,4.0,1.0
09648X0082/UCHAUD,4.274890032,43.752677049,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.2748900315756, 43.7526770487622]}",30,,15.0,,,,,,,,,
01082X0015/P.SUD,4.110292503,49.469787016,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.11029250341556, 49.469787016276]}",08,5.0,62.0,,924AE07,924AE07,924AE,2,5.0,1,1.0,1.0
10142X0043/SUD,2.976969071,43.541015576,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.9769690710094046, 43.54101557596262]}",34,205.0,198.78,"['Formations plissées du Haut Minervois, Monts de Faugères, St Ponais et Pardailhan']",681AB02,681AB02,681AB,2,5.0,3,4.0,1.0
09113X0008/MIRABE,3.8094007,44.217859567,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.809400699753817, 44.217859566897005]}",48,,740.0,['Socle cévenol BV des Gardons et du Vidourle'],691AE01,691AE01,691AE,2,7.0,4,3.0,1.0
09896X0032/ESTABE,3.362538786,43.576947734,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.3625387861765166, 43.57694773435685]}",34,60.0,175.0,"['Formations plissées du Haut Minervois, Monts de Faugères, St Ponais et Pardailhan']",681AB01,681AB01,681AB,2,7.0,1,4.0,1.0
09908X0345/AUBE,3.929119928,43.637816486,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.92911992758187, 43.6378164860656]}",34,54.0,36.07,['Calcaires jurassiques pli oriental de Montpellier et extension sous couverture'],647AD03,647AD03,647AD,2,6.0,1,2.0,1.0
11188X0116/NOCE,9.335605388,41.946456675,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [9.33560538768207, 41.9464566754331]}",2B,26.0,530.0,,600AA01,600AA01,600AA,2,6.0,4,2.0,1.0
07312X0002/SOURCE,-0.594023551,45.533161001,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.5940235506692108, 45.533161000911456]}",17,4.5,22.0,,348AA03,348AA03,348AA,1,5.0,8,2.0,1.0
06843X0003/SOURCE,-0.147098556,45.863713922,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.14709855565989013, 45.86371392219825]}",17,8.0,80.0,,352AC01,352AC01,352AC,2,5.0,5,2.0,1.0
07304X0516/SOURCE,-0.767006444,45.481446437,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.767006443580374, 45.4814464366107]}",17,,8.0,,346AA03,346AA03,346AA,X,6.0,5,2.0,1.0
08668X0029/SCE,4.961041453,44.470368961,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.96104145327251, 44.4703689608002]}",26,,334.0,['Marno-calcaires et grès Collines Côte du Rhône rive gauche et de la bordure du bassin du Comtat'],531AB00,531AB00,531AB,X,7.0,1,2.0,3.0
10616X0029/PRADE,2.977648557,43.028166357,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.9776485574595544, 43.02816635700776]}",11,40.0,2.42,['Formations tertiaires BV Aude et alluvions de la Berre hors BV Fresquel'],657AG00,657AG00,657AG,4,6.0,1,2.0,2.0
10396X0068/SADE,2.990354431,43.241189083,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.99035443100514, 43.2411890834744]}",11,13.0,10.35,['Alluvions Aude basse vallée'],718BG13,718BG13,718BG,2,5.0,1,1.0,1.0
08397X0222/FEE,3.825451106,44.695580473,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.8254511058073626, 44.69558047255687]}",48,,1105.0,"[""Bassin versant de l'Allier - Margeride""]",946AA01,,,,,,,
09912X0278/FORAGE,4.135412162,43.676836064,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.1354121618520665, 43.67683606364516]}",34,45.0,10.0,"['Calcaires, marnes et molasses oligo-miocènes du bassin de Castrie-Sommières']",643AB00,643AB00,643AB,X,6.0,X,2.0,3.0
10162X0019/CGE,3.695552749,43.488039049,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.6955527488013, 43.4880390485701]}",34,200.0,14.0,,,,,,,,,
05761X1025/GEORGE,3.634927325,46.72672738,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.63492732541608, 46.7267273795757]}",03,1307.0,199.0,['Alluvions de la Loire du Massif Central'],930AB01,930AB01,930AB,2,5.0,1,1.0,1.0
06347X0026/FORGE,-0.885737,46.100162,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.885737, 46.100162]}",17,20.0,14.0,"[""Calcaires et marnes du Jurassique supérieur de l'Aunis libres""]",352AC01,352AC01,352AC,2,5.0,5,2.0,1.0
08627X0059/GAUCHE,3.469840739,44.46882969,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.46984073942198, 44.4688296897774]}",48,,720.0,,358AI03,358AI03,358AI,3,5.0,5,2.0,1.0
09914X0380/TEMPIE,4.256775145,43.697693337,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.25677514491211, 43.6976933372078]}",30,6.95,10.81,,,,,,,,,
09381X0096/MAIRIE,4.023027003,44.017420376,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.02302700344552, 44.017420375661]}",30,11.0,125.0,"[""Alluvions du moyen Gardon + Gardons d'Alès et d'Anduze""]",712BF23,712BF23,712BF,2,5.0,1,1.0,1.0
07638X0017/MAIRIE,2.467418099,45.238404427,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.46741809934265, 45.2384044273525]}",15,9.0,853.98,,156AA02,156AA02,156AA,3,5.0,4,5.0,1.0
09914X0370/PERRIE,4.231272867,43.701192164,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.2312728670043, 43.701192163906]}",30,25.0,10.0,,,,,,,,,
09387X0067/CRUVIE,4.198863027,43.995943769,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.19886302668812, 43.9959437689723]}",30,57.0,78.83,,,,,,,,,
11061X0032/BELLE,9.075718892,42.646214016,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [9.07571889212818, 42.6462140159562]}",2B,16.2,9.0,,720CA27,720CA27,720CA,2,5.0,1,1.0,1.0
10406X0060/DRILLE,3.336861327,43.279874597,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.3368613273145, 43.2798745972233]}",34,140.0,3.17,['Sables astiens de Valras-Agde'],647AB00,647AB00,647AB,1,5.0,1,2.0,2.0
08866X0047/BURLE,3.411356797,44.36648239,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.411356797388657, 44.36648238950576]}",48,,490.0,,946AA01,,,,,,,
09388X0111/OULE,4.272576437,43.932849724,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.2725764374947, 43.9328497241618]}",30,115.0,62.56,['Calcaires urgoniens des garrigues du Gard BV du Gardon'],534AN00,534AN00,534AN,1,5.0,2,2.0,2.0
06967X0046/CLEPPE,4.183214,45.767931,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.183214, 45.767931]}",42,7.0,325.76,['Sables et marnes du bassin tertiaire de la Plaine du Forez libre'],040AA51,,,,,,,
08866X0059/CENARE,3.383468744,44.334444758,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.38346874366357, 44.3344447584239]}",48,,503.0,,358AI04,358AI04,358AI,3,5.0,5,2.0,1.0
09913X0158/AIRE,4.17700507,43.687949644,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.17700506951048, 43.6879496440881]}",30,7.7,10.26,['Alluvions anciennes de la Vistrenque et des Costières'],,,,,,,,
09124X0293/SISE,4.296056181,44.238965471,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.296056180525085, 44.23896547064443]}",30,10.0,113.35,['Alluvions de la Cèze'],712BJ48,712BJ48,712BJ,2,5.0,1,1.0,1.0
10772X0051/CAPITE,2.278124222,42.94069706,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.278124222285498, 42.94069706007907]}",11,150.0,363.0,['Formations tertiaires BV Aude et alluvions de la Berre hors BV Fresquel'],334AM00,334AM00,334AM,3,6.0,1,2.0,2.0
10148X0030/PLANTE,3.207292201,43.439914534,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.2072922008100746, 43.43991453398059]}",34,76.0,95.0,['Formations tertiaires et crétacées du bassin de Béziers-Pézenas'],657AC00,657AC00,657AC,3,6.0,1,2.0,2.0
10148X0044/PLANTE,3.207292201,43.439914534,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.2072922008100746, 43.43991453398059]}",34,88.0,95.0,['Formations tertiaires et crétacées du bassin de Béziers-Pézenas'],657AC00,657AC00,657AC,3,6.0,1,2.0,2.0
09994X0560/PZ_STE,7.178325157,43.713775288,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [7.17832515714837, 43.7137752882447]}",06,500.0,31.0,,,,,,,,,
10402X0270/POSTE,3.407849663,43.290296177,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.40784966274899, 43.2902961774499]}",34,108.0,1.3,,,,,,,,,
10161X0214/ROQUE,3.619515739,43.511342761,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.61951573863937, 43.5113427611175]}",34,100.0,48.0,,,,,,,,,
10144X0014/SAUVE,3.244750703,43.501503567,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.2447507033178455, 43.50150356731761]}",34,60.5,184.0,"['Formations plissées du Haut Minervois, Monts de Faugères, St Ponais et Pardailhan']",681AB02,681AB02,681AB,2,5.0,3,4.0,1.0
05045X0100/DOYE,6.492594,47.175274,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [6.492594, 47.175274]}",25,,585.0,['Calcaires jurassiques chaine du Jura - Doubs (Ht et médian) et Dessoubre'],515AJ01,515AJ01,515AJ,2,5.0,3,2.0,1.0
08744X0005/PZE,-0.770197855,44.456997371,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.770197854750671, 44.4569973714837]}",33,7.35,43.29,,308AC03,308AC03,308AC,3,5.0,1,2.0,1.0
06967X0100/F,4.183823819,45.769951628,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.18382381889375, 45.7699516277907]}",42,,-999.0,['Sables et marnes du bassin tertiaire de la Plaine du Forez libre'],040AA51,,,,,,,
09772X0010/F,-0.90992614,43.694485212,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.909926139503928, 43.6944852118714]}",40,92.0,44.0,,320AA01,320AA01,320AA,1,5.0,4,2.0,1.0
06824X0010/F,-0.77080979,45.810781013,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.770809790246041, 45.8107810134234]}",17,40.0,17.5,,348AA01,348AA01,348AA,1,5.0,8,2.0,1.0
06834X0010/F,-0.406762033,45.829444327,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.406762033168534, 45.8294443267534]}",17,52.0,19.0,,352AC01,352AC01,352AC,2,5.0,5,2.0,1.0
04936X0010/F,2.64494504,47.195368687,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.64494504037173, 47.1953686868942]}",18,32.5,193.23,['Calcaires et marnes du Jurassique supérieur du bassin versant de Yèvre-Auron libres'],135AC05,135AC05,135AC,2,5.0,2,2.0,1.0
08318X0010/F,1.019366779,44.685356235,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.0193667793142538, 44.68535623500218]}",24,30.0,185.0,,,,,,,,,
04884X0110/F,1.025000921,47.28459553,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.02500092141235, 47.2845955296005]}",37,47.5,102.96,['Craie du Séno-Turonien du bassin versant du Cher libre'],121AB01,121AB01,121AB,3,5.0,4,2.0,1.0
07238X0110/F,5.31310972,45.570777064,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [5.31310972029436, 45.5707770641337]}",38,15.0,267.5,['Alluvions de la Bourbre - Cattelan'],712AB01,712AB01,712AB,2,5.0,1,1.0,1.0
04602X0020/F,1.558163051,47.482898715,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.55816305096866, 47.4828987148297]}",41,80.0,107.0,['Calcaires tertiaires de Beauce sous Sologne captifs'],107AF05,107AF05,107AF,1,5.0,5,2.0,1.0
06832X0020/F,-0.560805094,45.843514011,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.5608050941795361, 45.84351401052828]}",17,77.0,19.0,,348AE01,348AE01,348AE,1,5.0,1,2.0,1.0
03244X0020/F,1.026271091,48.214196099,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.02627109088779, 48.2141960994682]}",28,35.5,193.0,['Sables et gres du Cenomanien sarthois libres'],123AC01,123AC01,123AC,3,5.0,1,2.0,1.0
10564X0020/F,1.42932,43.15339,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.42932, 43.15339]}",09,9.43,254.0,,,,,,,,,
08535X0020/F,0.078006457,44.480725656,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [0.0780064570145213, 44.480725655905]}",47,302.0,24.02,,334AG03,334AG03,334AG,1,5.0,1,2.0,1.0
08517X0020/F,-0.465974194,44.497471625,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.465974194103794, 44.4974716250117]}",33,20.0,58.18,,,,,,,,,
04248X0020/F,-0.032894364,47.59131498,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.0328943635920299, 47.5913149800666]}",49,43.5,79.0,['Craie du Séno-Turonien interfluve Loire - Loir libre'],121AA07,121AA07,121AA,3,5.0,4,2.0,1.0
06824X0120/F,-0.806355533,45.871652631,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.8063555332863758, 45.87165263122449]}",17,120.0,13.0,,348AA03,348AA03,348AA,1,5.0,8,2.0,1.0
08757X0120/F,-0.479403757,44.352707339,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.479403756888708, 44.3527073391143]}",33,10.0,82.0,,308AC01,308AC01,308AC,2,5.0,1,2.0,1.0
09805X0030/F,0.017186875,43.560675778,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [0.0171868747590499, 43.5606757783892]}",32,7.37,149.0,,306AA01,306AA01,306AA,2,5.0,1,2.0,1.0
06576X0030/F,-1.307074389,45.932098984,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-1.30707438913571, 45.9320989840278]}",17,40.0,7.1,,348AE01,348AE01,348AE,1,5.0,1,2.0,1.0
04565X0040/F,0.077704992,47.340517578,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [0.0777049920925581, 47.340517578273875]}",49,45.0,64.0,['Craie du Séno-Turonien interfluve Loire - Loir libre'],121AB07,121AB07,121AB,3,5.0,4,2.0,1.0
09513X0050/F,-0.50113767,43.877385051,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.501137669659319, 43.8773850510179]}",40,17.2,59.0,,316AA01,316AA01,316AA,1,5.0,4,2.0,1.0
05695X0050/F,1.171335264,46.629179138,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.171335264441656, 46.62917913796058]}",36,89.0,127.12,"[""Calcaires et marnes du Dogger et Jurassique supérieur de l'interfluve Indre-Creuse libres""]",139AD01,139AD01,139AD,1,5.0,4,2.0,1.0
07312X0150/F,-0.594023551,45.533161001,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.5940235506692108, 45.533161000911456]}",17,140.0,23.0,,348AE01,348AE01,348AE,1,5.0,1,2.0,1.0
08524X0160/F,-0.081186502,44.562028527,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.081186502311303, 44.5620285272492]}",33,7.67,12.0,,,,,,,,,
07063X0070/F,-0.88808321,45.712795046,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.888083210113605, 45.7127950457857]}",17,163.0,19.0,,348AE03,348AE03,348AE,3,5.0,1,2.0,1.0
06844X0070/F,-0.073063935,45.830794779,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.0730639348093622, 45.8307947789519]}",16,,87.0,,352AC01,352AC01,352AC,2,5.0,5,2.0,1.0
03454X0070/F,-4.335487966,48.000530218,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-4.33548796590969, 48.0005302177074]}",29,35.5,121.0,"[""Bassin versant de la baie d'Audierne""]",193AA02,193AA02,193AA,2,6.0,2,3.0,1.0
07315X0070/F,-0.687522,45.441883,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.687522, 45.441883]}",17,281.0,34.0,,348AA01,348AA01,348AA,1,5.0,8,2.0,1.0
06846X0070/F,-0.220986936,45.813906868,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.22098693594586016, 45.813906868153495]}",17,125.0,40.0,,352AC01,352AC01,352AC,2,5.0,5,2.0,1.0
03288X0070/F,2.497698406,48.085548676,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.49769840629285, 48.0855486755457]}",45,56.0,93.0,['Multicouches craie du Séno-turonien et calcaires de Beauce libres'],107AF01,107AF01,107AF,3,5.0,5,2.0,1.0
06828X0180/F,-0.758744333,45.79197567,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.7587443327713304, 45.79197567024079]}",17,171.0,26.0,,348AE01,348AE01,348AE,1,5.0,1,2.0,1.0
